"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","COUNTRY_CODE","LAUNCH_DATE"
14.31718177,0.0020488,65.0067,71.6385,269.7213,90.1524,7164.13,100.578,800.673,771.318,"DEBRIS","SMALL","CIS",1987
14.20210867,0.0033581,99.0333,44.0956,105.8471,254.641,7202.777,101.393,848.829,800.454,"DEBRIS","SMALL","PRC",1999
14.34679255,0.0023318,65.0041,265.6229,263.2921,271.8179,7154.269,100.371,792.817,759.452,"DEBRIS","SMALL","CIS",1987
12.73187137,0.0368219,99.6973,94.2584,32.3576,31.3798,7747.121,113.102,1654.25,1083.722,"DEBRIS","SMALL","US",1975
14.54821351,0.0009591,98.3158,2.4558,25.7802,334.3871,7088.082,98.981,716.745,703.149,"DEBRIS","SMALL","CIS",2015
14.36567535,0.002083,98.7745,46.9024,200.2926,159.7433,7147.999,100.239,784.753,754.975,"DEBRIS","SMALL","PRC",1999
12.78962248,0.0060598,66.0682,190.5605,343.6653,16.2407,7723.782,112.591,1392.452,1298.843,"DEBRIS","SMALL","FR",1992
13.56426298,0.036492,98.4395,312.56,95.4418,268.8457,7426.845,106.161,1319.731,777.69,"DEBRIS","SMALL","PRC",1999
14.56432571,0.0059762,74.1744,197.2961,39.6149,134.0894,7082.853,98.872,747.047,662.39,"DEBRIS","SMALL","CIS",1993
14.15582988,0.0025469,98.5506,325.7611,140.0482,233.0473,7218.467,101.725,858.716,821.947,"DEBRIS","SMALL","PRC",1999
12.39737576,0.0014432,101.9706,273.0289,95.5976,278.7672,7885.853,116.154,1519.099,1496.337,"DEBRIS","SMALL","US",1976
13.88217547,0.0019632,82.4906,124.5559,155.0664,205.1451,7313.021,103.73,949.243,920.529,"DEBRIS","SMALL","CIS",1987
15.26233739,0.0010423,97.3972,17.3336,91.2919,268.9514,6865.22,94.35,494.241,479.93,"TBA","SMALL","TBD",2018
11.62375361,0.1728341,51.6546,160.7091,296.5786,46.8245,8231.979,123.884,3276.61,431.077,"DEBRIS","SMALL","CIS",2011
13.53279749,0.0400674,74.1086,188.1564,297.1105,58.9665,7438.353,106.408,1358.253,762.183,"DEBRIS","SMALL","CIS",1993
14.41583624,0.0016248,74.0239,100.8308,195.4608,177.8697,7131.408,99.89,764.86,741.686,"DEBRIS","SMALL","CIS",1993
15.08840078,0.0075221,97.5479,212.0986,226.6241,132.8707,6917.88,95.438,591.782,487.708,"DEBRIS","SMALL","CIS",2017
